obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9
2.081392765045166016e+00,1.314738035202026367e+00,-2.740854918956756592e-01,-6.766568403691053391e-03,-1.730607450008392334e-02,-1.745329238474369049e-02,-8.721029162406921387e-01,-4.893224537372589111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+00,1.500000000000000000e+00,-9.999999776482582092e-03,-9.999999776482582092e-03,1.745329238474369049e-02,1.500000000000000000e+00,7.500000000000000000e-01,-1.499999966472387314e-02,-7.499999832361936569e-03,0.000000000000000000e+00,1.076470565795898438e+01,1.421092510223388672e+01,2.668931245803833008e+00,9.999999776482582092e-03,1.949551515281200409e-02,5.774613857269287109e+00,5.000000074505805969e-02,-5.372678041458129883e-01,-3.767566978931427002e-01,-4.753113090991973877e-01,-2.349840104579925537e-01,7.283883690834045410e-01,2.870220504701137543e-02,2.786474227905273438e-01,8.428323268890380859e-02,1.470868289470672607e-01,9.054180979728698730e-02
1.946141481399536133e+00,1.125968098640441895e+00,-1.339802443981170654e-01,-4.733844846487045288e-02,-5.819280073046684265e-02,2.061147801578044891e-02,-7.393550276756286621e-01,-6.733157634735107422e-01,-4.119634255766868591e-02,-4.119634255766868591e-02,3.806477040052413940e-02,2.347009181976318359e+00,1.347009181976318359e+00,-5.119634047150611877e-02,-5.119634047150611877e-02,1.745329238474369049e-02,1.322009086608886719e+00,6.095091700553894043e-01,-5.619634315371513367e-02,-4.869634285569190979e-02,0.000000000000000000e+00,9.135481834411621094e+00,1.046138191223144531e+01,2.000944375991821289e+00,6.605722941458225250e-03,1.804658770561218262e-02,3.366154432296752930e+00,5.000000074505805969e-02,2.196554988622665405e-01,1.532803773880004883e-01,-3.059506416320800781e-01,2.782804369926452637e-01,1.748923659324645996e-01,3.563002645969390869e-01,1.106321960687637329e-01,1.340313106775283813e-01,-1.102003678679466248e-01,4.780863523483276367e-01
1.619396686553955078e+00,7.556482553482055664e-01,-9.095485508441925049e-02,-7.089749723672866821e-02,-7.799823582172393799e-02,-6.629499606788158417e-03,-6.456087231636047363e-01,-7.636683583259582520e-01,-6.535049527883529663e-02,-6.136463955044746399e-02,1.082379277795553207e-02,1.999473810195922852e+00,1.010786056518554688e+00,-7.535049319267272949e-02,-7.136464118957519531e-02,1.745329238474369049e-02,9.494738578796386719e-01,2.857860326766967773e-01,-8.035048842430114746e-02,-6.886464357376098633e-02,0.000000000000000000e+00,5.947521209716796875e+00,4.317329883575439453e+00,8.435418605804443359e-01,1.963694114238023758e-03,1.937836036086082458e-02,1.525502204895019531e+00,5.000000074505805969e-02,4.458790421485900879e-01,5.567529797554016113e-01,-2.600010633468627930e-01,1.487396359443664551e-01,-3.298074007034301758e-02,2.816073298454284668e-01,3.294150233268737793e-01,2.578516602516174316e-01,5.681031197309494019e-02,2.382522672414779663e-01
1.346534013748168945e+00,3.621666133403778076e-01,-1.761776804924011230e-01,-4.128121212124824524e-02,-6.707586348056793213e-02,-2.547076158225536346e-02,-6.440466642379760742e-01,-7.649861574172973633e-01,-3.629542142152786255e-02,-5.085561424493789673e-02,-8.017468266189098358e-03,1.702928185462951660e+00,6.494594812393188477e-01,-4.629541933536529541e-02,-6.085561215877532959e-02,1.745329238474369049e-02,6.279281973838806152e-01,-6.304053962230682373e-02,-5.129541829228401184e-02,-5.835561454296112061e-02,0.000000000000000000e+00,3.597594499588012695e+00,1.153964042663574219e+00,2.405618727207183838e-01,6.096349097788333893e-03,1.943123526871204376e-02,1.317329764366149902e+00,5.000000074505805969e-02,3.372096121311187744e-01,-9.384695440530776978e-02,-3.908806443214416504e-01,3.368947505950927734e-01,5.188754200935363770e-02,1.472832262516021729e-01,8.046048283576965332e-01,5.311074256896972656e-01,4.804019331932067871e-01,-7.242855429649353027e-02
1.161850810050964355e+00,9.212390333414077759e-02,-3.304549455642700195e-01,-3.709848970174789429e-02,-4.673327505588531494e-02,-4.023485630750656128e-02,-6.938251852989196777e-01,-7.201434373855590820e-01,-3.263574466109275818e-02,-3.097371198236942291e-02,-2.278156392276287079e-02,1.491849660873413086e+00,4.093853235244750977e-01,-4.263574630022048950e-02,-4.097371175885200500e-02,1.745329238474369049e-02,3.918496072292327881e-01,-2.906146943569183350e-01,-4.763574525713920593e-02,-3.847371041774749756e-02,0.000000000000000000e+00,2.312403678894042969e+00,2.871985435485839844e-01,4.850725457072257996e-02,7.975537329912185669e-03,1.897651515901088715e-02,1.244685411453247070e+00,5.000000074505805969e-02,3.358597755432128906e-01,-3.197810053825378418e-02,-2.565988302230834961e-01,2.308672070503234863e-01,2.464337050914764404e-01,1.251069754362106323e-01,9.089756608009338379e-01,8.018337488174438477e-01,6.366092562675476074e-01,-1.541942656040191650e-01
9.602422714233398438e-01,-8.101905882358551025e-02,-5.272910594940185547e-01,-4.268191382288932800e-02,-2.079245075583457947e-02,-3.300474211573600769e-02,-7.684125900268554688e-01,-6.399548053741455078e-01,-3.870008140802383423e-02,-5.537406541407108307e-03,-1.555144973099231720e-02,1.261334180831909180e+00,2.637963593006134033e-01,-4.870007932186126709e-02,-1.553740631788969040e-02,1.745329238474369049e-02,1.363341659307479858e-01,-4.237036406993865967e-01,-5.370007827877998352e-02,-1.303740683943033218e-02,0.000000000000000000e+00,1.298342347145080566e+00,7.145359367132186890e-02,2.307602390646934509e-02,8.471640758216381073e-03,1.925366744399070740e-02,1.064259529113769531e+00,5.000000074505805969e-02,4.940434098243713379e-01,8.708079904317855835e-02,-1.321170032024383545e-01,3.237062692642211914e-02,3.248233199119567871e-01,1.709268540143966675e-01,9.380444288253784180e-01,9.746823906898498535e-01,6.639934778213500977e-01,-3.287206590175628662e-01
7.152746319770812988e-01,-9.592357277870178223e-02,-6.182636618614196777e-01,-4.725997149944305420e-02,1.709535159170627594e-02,4.826363176107406616e-03,-7.707790732383728027e-01,-6.371025443077087402e-01,-4.371324181556701660e-02,3.180588409304618835e-02,2.227965556085109711e-02,9.851681590080261230e-01,2.738216221332550049e-01,-5.371323972940444946e-02,2.180588245391845703e-02,1.745329238474369049e-02,-1.648318618535995483e-01,-4.011783897876739502e-01,-5.871324241161346436e-02,2.430588193237781525e-02,0.000000000000000000e+00,4.471066296100616455e-01,1.738041266798973083e-02,1.615183800458908081e-02,7.077538408339023590e-03,1.899913139641284943e-02,5.337028503417968750e-01,5.000000074505805969e-02,6.988412141799926758e-01,2.286499440670013428e-01,2.021581232547760010e-01,-1.757319271564483643e-02,2.719263136386871338e-01,2.035670280456542969e-01,7.619183063507080078e-01,1.094384431838989258e+00,5.938365459442138672e-01,-3.950944542884826660e-01
5.226802825927734375e-01,4.742841050028800964e-02,-4.611328244209289551e-01,-2.778151258826255798e-02,2.941874600946903229e-02,4.347572103142738342e-02,-5.937133431434631348e-01,-8.046765923500061035e-01,-2.462077699601650238e-02,4.354891180992126465e-02,6.092901527881622314e-02,7.593213319778442383e-01,4.392893612384796143e-01,-3.462077677249908447e-02,3.354891017079353333e-02,1.745329238474369049e-02,-4.156786501407623291e-01,-2.232106328010559082e-01,-3.962077572941780090e-02,3.604891151189804077e-02,0.000000000000000000e+00,6.511290371417999268e-02,2.039573788642883301e-01,8.347705937922000885e-03,7.497309707105159760e-03,1.578317023813724518e-02,2.169907540082931519e-01,5.000000074505805969e-02,1.099846005439758301e+00,3.751570880413055420e-01,8.021664619445800781e-01,2.203194499015808105e-01,4.471282660961151123e-02,-1.777476817369461060e-01,6.502365469932556152e-01,6.441053152084350586e-01,-5.930032581090927124e-02,-3.828096985816955566e-01
4.162607192993164062e-01,1.788175255060195923e-01,-2.598551809787750244e-01,-1.819283515214920044e-02,2.195928245782852173e-02,3.461022675037384033e-02,-3.401925563812255859e-01,-9.403557777404785156e-01,-1.536604203283786774e-02,3.547764942049980164e-02,5.206352099776268005e-02,6.178483366966247559e-01,5.898119807243347168e-01,-2.536604180932044983e-02,2.547765150666236877e-02,1.745329238474369049e-02,-5.821516513824462891e-01,-6.018803268671035767e-02,-3.036604262888431549e-02,2.797765098512172699e-02,0.000000000000000000e+00,9.847368113696575165e-03,8.524778485298156738e-01,2.999547636136412621e-03,8.505221456289291382e-03,1.678490452468395233e-02,1.934926062822341919e-01,5.000000074505805969e-02,9.764752388000488281e-01,3.550159633159637451e-01,6.255280971527099609e-01,6.376486271619796753e-02,1.412855535745620728e-01,-2.821726202964782715e-01,6.291989684104919434e-01,6.683239936828613281e-01,-1.353953033685684204e-01,-4.817342758178710938e-01
3.292993307113647461e-01,2.637532055377960205e-01,-1.221528202295303345e-01,-1.794883981347084045e-02,1.073260512202978134e-02,1.712601631879806519e-02,-1.218492686748504639e-01,-9.925486445426940918e-01,-1.540139596909284592e-02,2.361239865422248840e-02,3.457930684089660645e-02,4.942993521690368652e-01,6.907532215118408203e-01,-2.540139667689800262e-02,1.361239887773990631e-02,1.745329238474369049e-02,-7.307006716728210449e-01,5.325321480631828308e-02,-3.040139563381671906e-02,1.611239835619926453e-02,0.000000000000000000e+00,5.789479613304138184e-02,1.902971029281616211e+00,2.132587833330035210e-03,9.205251932144165039e-03,1.829978637397289276e-02,1.571672558784484863e-01,2.582581341266632080e-02,7.499034404754638672e-01,1.890362203121185303e-01,4.330978095531463623e-01,-2.641275525093078613e-03,2.823370695114135742e-01,-2.078959494829177856e-01,5.003588795661926270e-01,5.413964986801147461e-01,-1.128426119685173035e-01,-3.570942580699920654e-01
