# t,xt0,xt1,xt2,xt3,xt4,xt5,xc0,xc1,xc2,xc3,xc4,xc5,dist,b_obs
0.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.899987664595194303e+00,5.500123312104827633e-01,3.141540846041502189e+00,-4.934161922243217400e-04,4.932484193094489834e-04,-2.072301931639968214e-03,2.300530813599563018e+00,1.289287001053187609e-01
5.000000000000000278e-02,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.899950658690281458e+00,5.500493258625208659e-01,3.141403822043729921e+00,-9.868200042911314841e-04,9.865376622152594119e-04,-3.408657979252875669e-03,2.300493012868469300e+00,1.284241068687592136e-01
1.000000000000000056e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.899888982799038395e+00,5.501109856506737339e-01,3.141212128443251039e+00,-1.480215645433080682e-03,1.479853863899429148e-03,-4.259086039902838447e-03,2.300430013487291703e+00,1.279183885826568057e-01
1.500000000000000222e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.899802637260715521e+00,5.501973116942450170e-01,3.140985939441359065e+00,-1.973605887473865034e-03,1.973187878953439924e-03,-4.788474035775334113e-03,2.300341817668370314e+00,1.274115565486785007e-01
2.000000000000000111e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.899691622299576999e+00,5.503083047331195354e-01,3.140738588347027349e+00,-2.466992558065842552e-03,2.466533676028834395e-03,-5.105569737490885975e-03,2.300228428276930082e+00,1.269036234062908830e-01
2.500000000000000000e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.899555938064064975e+00,5.504439652569401709e-01,3.140478896677860732e+00,-2.960376862410210759e-03,2.959887276794642350e-03,-5.282097029175787141e-03,2.300089848867899356e+00,1.263946026786163523e-01
3.000000000000000444e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.899395584652611380e+00,5.506042935902922819e-01,3.140212710159306031e+00,-3.453759595727550445e-03,3.453246057289433707e-03,-5.365363713010135906e-03,2.299926083710439162e+00,1.258845084775330192e-01
3.500000000000000333e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.899210562130646540e+00,5.507892899488923133e-01,3.139943911675280308e+00,-3.947141282871844369e-03,3.946608286710550154e-03,-5.386575648017423792e-03,2.299737137804418019e+00,1.253733553098113629e-01
4.000000000000000222e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.899000870541816877e+00,5.509989544766412672e-01,3.139675089290754784e+00,-4.440522270321110680e-03,4.439972823245641291e-03,-5.366319733001769995e-03,2.299523016891636740e+00,1.248611579506975072e-01
4.500000000000000111e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.898766509915387424e+00,5.512332872700599351e-01,3.139407976803077815e+00,-4.933902786859348938e-03,4.933338913499596065e-03,-5.318179774069112763e-03,2.299283727463632410e+00,1.243479313615277748e-01
5.000000000000000000e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.898507480271125925e+00,5.514922883944028964e-01,3.139143744282310244e+00,-5.427282983596987131e-03,5.426706060219690236e-03,-5.251121056641030495e-03,2.299019276767276576e+00,1.238336906362743489e-01
5.500000000000000444e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.898223781622526474e+00,5.517759578942851295e-01,3.138883189683191244e+00,-5.920662960377372393e-03,5.920073935068276803e-03,-5.171062908115951068e-03,2.298729672808953683e+00,1.233184509671830936e-01
6.000000000000000888e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.897915413978937149e+00,5.520842958006894063e-01,3.138626865216431305e+00,-6.414042783203328588e-03,6.413442321102402581e-03,-5.081915762280191443e-03,2.298414924357850886e+00,1.228022276229897986e-01
6.500000000000000222e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.897582377346963778e+00,5.524173021355880397e-01,3.138375160695444865e+00,-6.907422495738752867e-03,6.906811074843396785e-03,-4.986265077180355998e-03,2.298075040948702963e+00,1.222850359354359928e-01
7.000000000000000666e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.897224671731397638e+00,5.527749769149907788e-01,3.138128358509453264e+00,-7.400802126900212288e-03,7.400180101264697274e-03,-4.885822362475618699e-03,2.297710032884220599e+00,1.217668912912646950e-01
7.500000000000000000e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.896842297135828304e+00,5.531573201509548676e-01,3.137886669884845325e+00,-7.894181695867944978e-03,7.893549337298265411e-03,-4.781722621836979881e-03,2.297319911237359236e+00,1.212478091278363507e-01
8.000000000000000444e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.896435253563046874e+00,5.535643318529113177e-01,3.137650258806543135e+00,-8.387561215393555397e-03,8.386918740958339974e-03,-4.674720510245290728e-03,2.296904687853512428e+00,1.207278049311398815e-01
8.500000000000000888e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.896003541015312432e+00,5.539960120285395417e-01,3.137419257801374428e+00,-8.880940693983400622e-03,8.880288284169349580e-03,-4.565319696507160949e-03,2.296464375352714082e+00,1.202068942353892028e-01
9.000000000000000222e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.895547159494529232e+00,5.544523606843446695e-01,3.137193778354551377e+00,-9.374320137339834172e-03,9.373657948036418983e-03,-4.453858176408372928e-03,2.295998987131882441e+00,1.196850926236725093e-01
9.500000000000000666e-01,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.895066109002363053e+00,5.549333778260387984e-01,3.136973917786729071e+00,-9.867699549312571733e-03,9.867027719726553098e-03,-4.340564536485120098e-03,2.295508537367137780e+00,1.191624157293020153e-01
1.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.894560389540317136e+00,5.554390634587922371e-01,3.136759763796804545e+00,-1.036107893252668014e-02,1.036039759041192804e-02,-4.225595060488384659e-03,2.294993041016212043e+00,1.186388792376325413e-01
1.050000000000000044e+00,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.894030001109784145e+00,5.559694175874003719e-01,3.136551397465240143e+00,-1.085445828879711729e-02,1.085376755391356113e-02,-4.109058202093640935e-03,2.294452513820965489e+00,1.181144988881956265e-01
1.100000000000000089e+00,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.893474943712079028e+00,5.565244402163933568e-01,3.136348895242038637e+00,-1.134783761940237612e-02,1.134713760580681116e-02,-3.991030725960458860e-03,2.293886972310017924e+00,1.175892904770488301e-01
1.150000000000000133e+00,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.892895217348462555e+00,5.571041313501092773e-01,3.136152330265033150e+00,-1.184121692526511789e-02,1.184050774283143363e-02,-3.871568354261256759e-03,2.293296433801500722e+00,1.170632698592736637e-01
1.200000000000000178e+00,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.892290822020154195e+00,5.577084909927426670e-01,3.135961773236434436e+00,-1.233459620707142747e-02,1.233387796250244930e-02,-3.750712789682864035e-03,2.292680916405932301e+00,1.165364529515791059e-01
1.250000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.891661757728343662e+00,5.583375191483765931e-01,3.135777293007973032e+00,-1.282797546534953682e-02,1.282724826285345197e-02,-3.628496348776033813e-03,2.292040439029222831e+00,1.160088557349814170e-01
1.300000000000000044e+00,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.891008024474196692e+00,5.589912158210046389e-01,3.135598956973769447e+00,-1.332135470052180949e-02,1.332061864226723874e-02,-3.504945019360822603e-03,2.291375021375811727e+00,1.154804942575425736e-01
1.350000000000000089e+00,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.890329622258860365e+00,5.596695810145454475e-01,3.135426831336320497e+00,-1.381473391293907074e-02,1.381398909936403137e-02,-3.380080478605708601e-03,2.290684683951930811e+00,1.149513846371548187e-01
1.400000000000000133e+00,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.889626551083464445e+00,5.603726147328527141e-01,3.135260981288713555e+00,-1.430811310290328042e-02,1.430735963292766900e-02,-3.253921425666208341e-03,2.289969448069006486e+00,1.144215430643636122e-01
1.450000000000000178e+00,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.888898810949124929e+00,5.611003169797222911e-01,3.135101471141515272e+00,-1.480149227068252443e-02,1.480073024185684684e-02,-3.126484462260703794e-03,2.289229335847196456e+00,1.138909858052242208e-01
1.500000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.888146401856944934e+00,5.618526877588970736e-01,3.134948364413081556e+00,-1.529487141652092173e-02,1.529410092513287626e-02,-2.997784675091246225e-03,2.288464370219056576e+00,1.133597292041893662e-01
1.550000000000000044e+00,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.887369323808015587e+00,5.626297270740703294e-01,3.134801723895664249e+00,-1.578825054064518160e-02,1.578747168179832697e-02,-2.867836021606561068e-03,2.287674574933352911e+00,1.128277896870253094e-01
1.600000000000000089e+00,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.886567576803417801e+00,5.634314349288888080e-01,3.134661611705472861e+00,-1.628162964326895085e-02,1.628084251094286811e-02,-2.736651586042689304e-03,2.286859974559005249e+00,1.122951837637566896e-01
1.650000000000000133e+00,5.999999999999999778e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.885741160844221387e+00,5.642578113269547391e-01,3.134528089322074607e+00,-1.677500872459571080e-02,1.677421341169383490e-02,-2.604243749884633131e-03,2.286020594489172275e+00,1.117619280316387576e-01
